Got expression data for 200, mutations for 196, both for 196
Valid patients: 1408 mutations, expression data for 19990 proteins
KDR         2 patients, cumulative 184/196 (93.88%)
KIAA0240    2 patients, cumulative 184/196 (93.88%)
KIAA1683    2 patients, cumulative 184/196 (93.88%)
KIF2B       2 patients, cumulative 184/196 (93.88%)
LOC100129218  2 patients, cumulative 184/196 (93.88%)
LOC100130211  2 patients, cumulative 184/196 (93.88%)
LOC100132800  2 patients, cumulative 184/196 (93.88%)
MAP2        2 patients, cumulative 184/196 (93.88%)
MED12       2 patients, cumulative 184/196 (93.88%)
MEFV        2 patients, cumulative 184/196 (93.88%)
MT-CO1      2 patients, cumulative 185/196 (94.39%)
MTA2        2 patients, cumulative 185/196 (94.39%)
MTMR8       2 patients, cumulative 185/196 (94.39%)
MTUS2       2 patients, cumulative 185/196 (94.39%)
MUC5B       2 patients, cumulative 185/196 (94.39%)
NF1         2 patients, cumulative 185/196 (94.39%)
NMUR2       2 patients, cumulative 185/196 (94.39%)
NR2E1       2 patients, cumulative 185/196 (94.39%)
NRXN3       2 patients, cumulative 185/196 (94.39%)
OR11H12     2 patients, cumulative 185/196 (94.39%)
OR13H1      2 patients, cumulative 185/196 (94.39%)
P2RY2       2 patients, cumulative 185/196 (94.39%)
PDCD2L      2 patients, cumulative 185/196 (94.39%)
PHIP        2 patients, cumulative 185/196 (94.39%)
PKD1L2      2 patients, cumulative 185/196 (94.39%)
PKHD1L1     2 patients, cumulative 185/196 (94.39%)
PLEKHH1     2 patients, cumulative 186/196 (94.90%)
PPP1R3A     2 patients, cumulative 186/196 (94.90%)
PRAMEF2     2 patients, cumulative 186/196 (94.90%)
PRPF8       2 patients, cumulative 186/196 (94.90%)
PSME4       2 patients, cumulative 186/196 (94.90%)
RBBP4       2 patients, cumulative 186/196 (94.90%)
RIMS1       2 patients, cumulative 186/196 (94.90%)
RNF213      2 patients, cumulative 186/196 (94.90%)
RYR3        2 patients, cumulative 186/196 (94.90%)
SCAF8       2 patients, cumulative 186/196 (94.90%)
SCN1A       2 patients, cumulative 186/196 (94.90%)
SEMA3A      2 patients, cumulative 186/196 (94.90%)
SEMA4A      2 patients, cumulative 186/196 (94.90%)
SETBP1      2 patients, cumulative 186/196 (94.90%)
SI          2 patients, cumulative 186/196 (94.90%)
STRN        2 patients, cumulative 186/196 (94.90%)
TCEAL6      2 patients, cumulative 186/196 (94.90%)
TET1        2 patients, cumulative 186/196 (94.90%)
THRAP3      2 patients, cumulative 186/196 (94.90%)
TNC         2 patients, cumulative 186/196 (94.90%)
TOP3B       2 patients, cumulative 186/196 (94.90%)
TRPM3       2 patients, cumulative 186/196 (94.90%)
TTBK1       2 patients, cumulative 186/196 (94.90%)
TUBA3C      2 patients, cumulative 186/196 (94.90%)
UNC5B       2 patients, cumulative 186/196 (94.90%)
WAC         2 patients, cumulative 186/196 (94.90%)
ZBTB33      2 patients, cumulative 186/196 (94.90%)
ZC3H18      2 patients, cumulative 186/196 (94.90%)
ZNF687      2 patients, cumulative 186/196 (94.90%)
  ('TTN', 'TET2'): mutated in only 0 patients
  ('TTN', 'PTPN11'): mutated in only 0 patients
  ('TTN', 'KRAS'): mutated in only 0 patients
  ('TTN', 'WT1'): mutated in only 1 patients
  ('TTN', 'MT-CYB'): mutated in only 0 patients
  ('TTN', 'FLT3'): mutated in only 0 patients
  ('TTN', 'IDH2'): mutated in only 1 patients
  ('TTN', 'IDH1'): mutated in only 1 patients
  ('TTN', 'TP53'): mutated in only 0 patients
  ('TTN', 'NRAS'): mutated in only 0 patients
  ('TTN', 'DNMT3A'): mutated in only 2 patients
  ('TTN', 'RAD21'): mutated in only 0 patients
  ('TTN', 'NPM1'): mutated in only 2 patients
  ('TTN', 'SMC3'): mutated in only 1 patients
  ('TTN', 'U2AF1'): mutated in only 0 patients
  ('TTN', 'RUNX1'): mutated in only 3 patients
  ('TTN', 'PHF6'): mutated in only 1 patients
  ('TTN', 'ASXL1'): mutated in only 2 patients
  ('TTN', 'SMC1A'): mutated in only 0 patients
  ('TTN', 'CEBPA'): mutated in only 0 patients
  ('TTN', 'KIT'): mutated in only 0 patients
  ('TTN', 'FLT3-ITD'): mutated in only 2 patients
  ('TTN', 'STAG2'): mutated in only 0 patients
  ('TTN', 'FAM5C'): mutated in only 0 patients
  ('TET2', 'PTPN11'): mutated in only 0 patients
  ('TET2', 'KRAS'): mutated in only 1 patients
  ('TET2', 'WT1'): mutated in only 0 patients
  ('TET2', 'MT-CYB'): mutated in only 0 patients
  ('TET2', 'FLT3'): mutated in only 1 patients
  ('TET2', 'IDH2'): mutated in only 0 patients
  ('TET2', 'IDH1'): mutated in only 2 patients
  ('TET2', 'TP53'): mutated in only 1 patients
  ('TET2', 'NRAS'): mutated in only 2 patients
  ('TET2', 'RAD21'): mutated in only 0 patients
  ('TET2', 'NPM1'): mutated in only 2 patients
  ('TET2', 'SMC3'): mutated in only 1 patients
  ('TET2', 'U2AF1'): mutated in only 1 patients
  ('TET2', 'RUNX1'): mutated in only 2 patients
  ('TET2', 'PHF6'): mutated in only 0 patients
  ('TET2', 'ASXL1'): mutated in only 0 patients
  ('TET2', 'SMC1A'): mutated in only 1 patients
  ('TET2', 'CEBPA'): mutated in only 1 patients
  ('TET2', 'KIT'): mutated in only 1 patients
  ('TET2', 'FLT3-ITD'): mutated in only 4 patients
  ('TET2', 'STAG2'): mutated in only 2 patients
  ('TET2', 'FAM5C'): mutated in only 1 patients
  ('PTPN11', 'KRAS'): mutated in only 0 patients
  ('PTPN11', 'WT1'): mutated in only 1 patients
  ('PTPN11', 'MT-CYB'): mutated in only 1 patients
  ('PTPN11', 'FLT3'): mutated in only 1 patients
  ('PTPN11', 'IDH2'): mutated in only 0 patients
  ('PTPN11', 'IDH1'): mutated in only 2 patients
  ('PTPN11', 'TP53'): mutated in only 1 patients
  ('PTPN11', 'NRAS'): mutated in only 1 patients
  ('PTPN11', 'DNMT3A'): mutated in only 3 patients
  ('PTPN11', 'RAD21'): mutated in only 0 patients
  ('PTPN11', 'SMC3'): mutated in only 1 patients
  ('PTPN11', 'U2AF1'): mutated in only 0 patients
  ('PTPN11', 'RUNX1'): mutated in only 0 patients
  ('PTPN11', 'PHF6'): mutated in only 1 patients
  ('PTPN11', 'ASXL1'): mutated in only 0 patients
  ('PTPN11', 'SMC1A'): mutated in only 1 patients
  ('PTPN11', 'CEBPA'): mutated in only 1 patients
  ('PTPN11', 'KIT'): mutated in only 0 patients
  ('PTPN11', 'FLT3-ITD'): mutated in only 1 patients
  ('PTPN11', 'STAG2'): mutated in only 2 patients
  ('PTPN11', 'FAM5C'): mutated in only 0 patients
  ('KRAS', 'WT1'): mutated in only 0 patients
  ('KRAS', 'MT-CYB'): mutated in only 0 patients
  ('KRAS', 'FLT3'): mutated in only 0 patients
  ('KRAS', 'IDH2'): mutated in only 3 patients
  ('KRAS', 'IDH1'): mutated in only 0 patients
  ('KRAS', 'TP53'): mutated in only 0 patients
  ('KRAS', 'NRAS'): mutated in only 0 patients
  ('KRAS', 'DNMT3A'): mutated in only 4 patients
  ('KRAS', 'RAD21'): mutated in only 0 patients
  ('KRAS', 'NPM1'): mutated in only 3 patients
  ('KRAS', 'SMC3'): mutated in only 0 patients
  ('KRAS', 'U2AF1'): mutated in only 1 patients
  ('KRAS', 'RUNX1'): mutated in only 1 patients
  ('KRAS', 'PHF6'): mutated in only 0 patients
  ('KRAS', 'ASXL1'): mutated in only 1 patients
  ('KRAS', 'SMC1A'): mutated in only 0 patients
  ('KRAS', 'CEBPA'): mutated in only 0 patients
  ('KRAS', 'KIT'): mutated in only 0 patients
  ('KRAS', 'FLT3-ITD'): mutated in only 0 patients
  ('KRAS', 'STAG2'): mutated in only 0 patients
  ('KRAS', 'FAM5C'): mutated in only 0 patients
  ('WT1', 'MT-CYB'): mutated in only 0 patients
  ('WT1', 'FLT3'): mutated in only 0 patients
  ('WT1', 'IDH2'): mutated in only 1 patients
  ('WT1', 'IDH1'): mutated in only 1 patients
  ('WT1', 'TP53'): mutated in only 0 patients
  ('WT1', 'NRAS'): mutated in only 1 patients
  ('WT1', 'DNMT3A'): mutated in only 2 patients
  ('WT1', 'RAD21'): mutated in only 0 patients
  ('WT1', 'SMC3'): mutated in only 1 patients
  ('WT1', 'U2AF1'): mutated in only 0 patients
  ('WT1', 'RUNX1'): mutated in only 2 patients
  ('WT1', 'PHF6'): mutated in only 2 patients
  ('WT1', 'ASXL1'): mutated in only 0 patients
  ('WT1', 'SMC1A'): mutated in only 1 patients
  ('WT1', 'CEBPA'): mutated in only 2 patients
  ('WT1', 'KIT'): mutated in only 1 patients
  ('WT1', 'STAG2'): mutated in only 1 patients
  ('WT1', 'FAM5C'): mutated in only 1 patients
  ('MT-CYB', 'FLT3'): mutated in only 1 patients
  ('MT-CYB', 'IDH2'): mutated in only 1 patients
  ('MT-CYB', 'IDH1'): mutated in only 1 patients
  ('MT-CYB', 'TP53'): mutated in only 1 patients
  ('MT-CYB', 'NRAS'): mutated in only 0 patients
  ('MT-CYB', 'DNMT3A'): mutated in only 4 patients
  ('MT-CYB', 'RAD21'): mutated in only 0 patients
  ('MT-CYB', 'NPM1'): mutated in only 3 patients
  ('MT-CYB', 'SMC3'): mutated in only 0 patients
  ('MT-CYB', 'U2AF1'): mutated in only 0 patients
  ('MT-CYB', 'RUNX1'): mutated in only 0 patients
  ('MT-CYB', 'PHF6'): mutated in only 0 patients
  ('MT-CYB', 'ASXL1'): mutated in only 0 patients
  ('MT-CYB', 'SMC1A'): mutated in only 1 patients
  ('MT-CYB', 'CEBPA'): mutated in only 1 patients
  ('MT-CYB', 'KIT'): mutated in only 0 patients
  ('MT-CYB', 'FLT3-ITD'): mutated in only 1 patients
  ('MT-CYB', 'STAG2'): mutated in only 0 patients
  ('MT-CYB', 'FAM5C'): mutated in only 0 patients
  ('FLT3', 'IDH2'): mutated in only 0 patients
  ('FLT3', 'IDH1'): mutated in only 4 patients
  ('FLT3', 'TP53'): mutated in only 0 patients
  ('FLT3', 'NRAS'): mutated in only 1 patients
  ('FLT3', 'RAD21'): mutated in only 1 patients
  ('FLT3', 'SMC3'): mutated in only 1 patients
  ('FLT3', 'U2AF1'): mutated in only 0 patients
  ('FLT3', 'RUNX1'): mutated in only 0 patients
  ('FLT3', 'PHF6'): mutated in only 0 patients
  ('FLT3', 'ASXL1'): mutated in only 0 patients
  ('FLT3', 'SMC1A'): mutated in only 3 patients
  ('FLT3', 'CEBPA'): mutated in only 1 patients
  ('FLT3', 'KIT'): mutated in only 1 patients
  ('FLT3', 'FLT3-ITD'): mutated in only 0 patients
  ('FLT3', 'STAG2'): mutated in only 0 patients
  ('FLT3', 'FAM5C'): mutated in only 0 patients
  ('IDH2', 'IDH1'): mutated in only 1 patients
  ('IDH2', 'TP53'): mutated in only 0 patients
  ('IDH2', 'NRAS'): mutated in only 0 patients
  ('IDH2', 'RAD21'): mutated in only 0 patients
  ('IDH2', 'NPM1'): mutated in only 4 patients
  ('IDH2', 'SMC3'): mutated in only 0 patients
  ('IDH2', 'U2AF1'): mutated in only 1 patients
  ('IDH2', 'PHF6'): mutated in only 1 patients
  ('IDH2', 'ASXL1'): mutated in only 4 patients
  ('IDH2', 'SMC1A'): mutated in only 0 patients
  ('IDH2', 'CEBPA'): mutated in only 1 patients
  ('IDH2', 'KIT'): mutated in only 0 patients
  ('IDH2', 'FLT3-ITD'): mutated in only 2 patients
  ('IDH2', 'STAG2'): mutated in only 1 patients
  ('IDH2', 'FAM5C'): mutated in only 0 patients
  ('IDH1', 'TP53'): mutated in only 0 patients
  ('IDH1', 'NRAS'): mutated in only 2 patients
  ('IDH1', 'RAD21'): mutated in only 0 patients
  ('IDH1', 'SMC3'): mutated in only 0 patients
  ('IDH1', 'U2AF1'): mutated in only 1 patients
  ('IDH1', 'RUNX1'): mutated in only 2 patients
  ('IDH1', 'PHF6'): mutated in only 0 patients
  ('IDH1', 'ASXL1'): mutated in only 1 patients
  ('IDH1', 'SMC1A'): mutated in only 1 patients
  ('IDH1', 'CEBPA'): mutated in only 1 patients
  ('IDH1', 'KIT'): mutated in only 1 patients
  ('IDH1', 'FLT3-ITD'): mutated in only 0 patients
  ('IDH1', 'STAG2'): mutated in only 0 patients
  ('IDH1', 'FAM5C'): mutated in only 0 patients
  ('TP53', 'NRAS'): mutated in only 1 patients
  ('TP53', 'DNMT3A'): mutated in only 2 patients
  ('TP53', 'RAD21'): mutated in only 0 patients
  ('TP53', 'NPM1'): mutated in only 0 patients
  ('TP53', 'SMC3'): mutated in only 1 patients
  ('TP53', 'U2AF1'): mutated in only 0 patients
  ('TP53', 'RUNX1'): mutated in only 0 patients
  ('TP53', 'PHF6'): mutated in only 0 patients
  ('TP53', 'ASXL1'): mutated in only 0 patients
  ('TP53', 'SMC1A'): mutated in only 0 patients
  ('TP53', 'CEBPA'): mutated in only 1 patients
  ('TP53', 'KIT'): mutated in only 0 patients
  ('TP53', 'FLT3-ITD'): mutated in only 0 patients
  ('TP53', 'STAG2'): mutated in only 0 patients
  ('TP53', 'FAM5C'): mutated in only 0 patients
  ('NRAS', 'RAD21'): mutated in only 1 patients
  ('NRAS', 'SMC3'): mutated in only 1 patients
  ('NRAS', 'U2AF1'): mutated in only 1 patients
  ('NRAS', 'RUNX1'): mutated in only 1 patients
  ('NRAS', 'PHF6'): mutated in only 0 patients
  ('NRAS', 'ASXL1'): mutated in only 0 patients
  ('NRAS', 'SMC1A'): mutated in only 0 patients
  ('NRAS', 'CEBPA'): mutated in only 3 patients
  ('NRAS', 'KIT'): mutated in only 0 patients
  ('NRAS', 'FLT3-ITD'): mutated in only 1 patients
  ('NRAS', 'STAG2'): mutated in only 1 patients
  ('NRAS', 'FAM5C'): mutated in only 1 patients
  ('DNMT3A', 'RAD21'): mutated in only 3 patients
  ('DNMT3A', 'U2AF1'): mutated in only 3 patients
  ('DNMT3A', 'RUNX1'): mutated in only 2 patients
  ('DNMT3A', 'PHF6'): mutated in only 1 patients
  ('DNMT3A', 'ASXL1'): mutated in only 1 patients
  ('DNMT3A', 'SMC1A'): mutated in only 3 patients
  ('DNMT3A', 'CEBPA'): mutated in only 3 patients
  ('DNMT3A', 'KIT'): mutated in only 1 patients
  ('DNMT3A', 'STAG2'): mutated in only 0 patients
  ('DNMT3A', 'FAM5C'): mutated in only 1 patients
  ('RAD21', 'NPM1'): mutated in only 3 patients
  ('RAD21', 'SMC3'): mutated in only 0 patients
  ('RAD21', 'U2AF1'): mutated in only 0 patients
  ('RAD21', 'RUNX1'): mutated in only 0 patients
  ('RAD21', 'PHF6'): mutated in only 0 patients
  ('RAD21', 'ASXL1'): mutated in only 0 patients
  ('RAD21', 'SMC1A'): mutated in only 0 patients
  ('RAD21', 'CEBPA'): mutated in only 0 patients
  ('RAD21', 'KIT'): mutated in only 0 patients
  ('RAD21', 'FLT3-ITD'): mutated in only 1 patients
  ('RAD21', 'STAG2'): mutated in only 0 patients
  ('RAD21', 'FAM5C'): mutated in only 0 patients
  ('NPM1', 'SMC3'): mutated in only 3 patients
  ('NPM1', 'U2AF1'): mutated in only 1 patients
  ('NPM1', 'RUNX1'): mutated in only 0 patients
  ('NPM1', 'PHF6'): mutated in only 1 patients
  ('NPM1', 'ASXL1'): mutated in only 0 patients
  ('NPM1', 'SMC1A'): mutated in only 4 patients
  ('NPM1', 'CEBPA'): mutated in only 2 patients
  ('NPM1', 'KIT'): mutated in only 1 patients
  ('NPM1', 'STAG2'): mutated in only 3 patients
  ('NPM1', 'FAM5C'): mutated in only 2 patients
  ('SMC3', 'U2AF1'): mutated in only 1 patients
  ('SMC3', 'RUNX1'): mutated in only 1 patients
  ('SMC3', 'PHF6'): mutated in only 1 patients
  ('SMC3', 'ASXL1'): mutated in only 0 patients
  ('SMC3', 'SMC1A'): mutated in only 0 patients
  ('SMC3', 'CEBPA'): mutated in only 1 patients
  ('SMC3', 'KIT'): mutated in only 0 patients
  ('SMC3', 'FLT3-ITD'): mutated in only 2 patients
  ('SMC3', 'STAG2'): mutated in only 0 patients
  ('SMC3', 'FAM5C'): mutated in only 0 patients
  ('U2AF1', 'RUNX1'): mutated in only 2 patients
  ('U2AF1', 'PHF6'): mutated in only 1 patients
  ('U2AF1', 'ASXL1'): mutated in only 1 patients
  ('U2AF1', 'SMC1A'): mutated in only 0 patients
  ('U2AF1', 'CEBPA'): mutated in only 0 patients
  ('U2AF1', 'KIT'): mutated in only 1 patients
  ('U2AF1', 'FLT3-ITD'): mutated in only 0 patients
  ('U2AF1', 'STAG2'): mutated in only 0 patients
  ('U2AF1', 'FAM5C'): mutated in only 0 patients
  ('RUNX1', 'PHF6'): mutated in only 3 patients
  ('RUNX1', 'ASXL1'): mutated in only 4 patients
  ('RUNX1', 'SMC1A'): mutated in only 0 patients
  ('RUNX1', 'CEBPA'): mutated in only 0 patients
  ('RUNX1', 'KIT'): mutated in only 0 patients
  ('RUNX1', 'FLT3-ITD'): mutated in only 1 patients
  ('RUNX1', 'STAG2'): mutated in only 2 patients
  ('RUNX1', 'FAM5C'): mutated in only 0 patients
  ('PHF6', 'ASXL1'): mutated in only 0 patients
  ('PHF6', 'SMC1A'): mutated in only 0 patients
  ('PHF6', 'CEBPA'): mutated in only 0 patients
  ('PHF6', 'KIT'): mutated in only 0 patients
  ('PHF6', 'FLT3-ITD'): mutated in only 1 patients
  ('PHF6', 'STAG2'): mutated in only 0 patients
  ('PHF6', 'FAM5C'): mutated in only 1 patients
  ('ASXL1', 'SMC1A'): mutated in only 0 patients
  ('ASXL1', 'CEBPA'): mutated in only 0 patients
  ('ASXL1', 'KIT'): mutated in only 0 patients
  ('ASXL1', 'FLT3-ITD'): mutated in only 0 patients
  ('ASXL1', 'STAG2'): mutated in only 0 patients
  ('ASXL1', 'FAM5C'): mutated in only 0 patients
  ('SMC1A', 'CEBPA'): mutated in only 1 patients
  ('SMC1A', 'KIT'): mutated in only 0 patients
  ('SMC1A', 'FLT3-ITD'): mutated in only 1 patients
  ('SMC1A', 'STAG2'): mutated in only 0 patients
  ('SMC1A', 'FAM5C'): mutated in only 0 patients
  ('CEBPA', 'KIT'): mutated in only 0 patients
  ('CEBPA', 'FLT3-ITD'): mutated in only 1 patients
  ('CEBPA', 'STAG2'): mutated in only 0 patients
  ('CEBPA', 'FAM5C'): mutated in only 0 patients
  ('KIT', 'FLT3-ITD'): mutated in only 0 patients
  ('KIT', 'STAG2'): mutated in only 0 patients
  ('KIT', 'FAM5C'): mutated in only 0 patients
  ('FLT3-ITD', 'STAG2'): mutated in only 2 patients
  ('FLT3-ITD', 'FAM5C'): mutated in only 3 patients
  ('STAG2', 'FAM5C'): mutated in only 0 patients
           NPM1:           WNT7B     0.03 +/-     0.13  -->      1.45 +/-     1.54, n=48, p=0.000000
           NPM1:           HOXB4     5.99 +/-     8.21  -->     34.47 +/-    14.33, n=48, p=0.000000
           NPM1:           HOXB3     8.93 +/-    13.75  -->     61.52 +/-    26.51, n=48, p=0.000000
           NPM1:           HOXB9     0.68 +/-     4.63  -->     13.84 +/-    35.79, n=48, p=0.000000
           NPM1:           HOXA5    10.59 +/-    15.55  -->     62.28 +/-    27.37, n=48, p=0.000000
           NPM1:            PBX3    16.87 +/-    19.39  -->     64.93 +/-    22.46, n=48, p=0.000000
           NPM1:           HOXB6     1.52 +/-     4.04  -->     13.09 +/-     7.29, n=48, p=0.000000
           NPM1:           HOXB2     5.62 +/-     6.65  -->     25.03 +/-    11.75, n=48, p=0.000000
           NPM1:           HOXB5     1.92 +/-     3.93  -->     14.27 +/-    10.35, n=48, p=0.000000
           NPM1:           HOXB8     1.32 +/-     9.65  -->      7.49 +/-    14.80, n=48, p=0.000000
           NPM1:           HOXA6     6.86 +/-    10.66  -->     35.78 +/-    15.51, n=48, p=0.000000
           NPM1:           HOXB7     0.69 +/-     3.33  -->      5.21 +/-     7.67, n=48, p=0.000000
           NPM1:           HOXA3     3.79 +/-     5.80  -->     17.26 +/-     6.21, n=48, p=0.000000
           NPM1:           HOXA4     3.17 +/-     4.77  -->     14.90 +/-     8.01, n=48, p=0.000000
           NPM1:           HOXA7     6.85 +/-     9.02  -->     28.62 +/-    11.49, n=48, p=0.000000
           NPM1:           LMX1B     0.05 +/-     0.34  -->      0.76 +/-     1.48, n=48, p=0.000000
           NPM1:          NKX2-3     1.66 +/-     4.28  -->     10.24 +/-     6.44, n=48, p=0.000000
           NPM1:           C1QL1     0.03 +/-     0.06  -->      0.83 +/-     1.21, n=48, p=0.000000
           NPM1:            SDSL     4.36 +/-     3.11  -->     11.40 +/-     4.45, n=48, p=0.000000
           NPM1:          HOXA10     9.07 +/-    11.63  -->     28.85 +/-    12.08, n=48, p=0.000000
           NPM1:       HOXA11-AS     0.66 +/-     3.65  -->      2.71 +/-     3.86, n=48, p=0.000000
           NPM1:           HOXA9    25.17 +/-    31.18  -->     90.06 +/-    45.44, n=48, p=0.000000
         MT-CYB:          OR5B17     0.00 +/-     0.00  -->      0.02 +/-     0.02, n= 5, p=0.000000
           NPM1:         ONECUT3     0.00 +/-     0.02  -->      0.47 +/-     1.65, n=48, p=0.000000
           NPM1:             TRH    62.03 +/-   207.69  -->      1.07 +/-     3.83, n=48, p=0.000000
           NPM1:       C10orf140     0.99 +/-     2.27  -->      4.57 +/-     3.17, n=48, p=0.000000
           NPM1:    LOC100271722     2.82 +/-     3.46  -->     11.06 +/-     6.35, n=48, p=0.000000
           NPM1:         FAM105A    20.89 +/-    17.64  -->      4.73 +/-     7.56, n=48, p=0.000000
           NPM1:          HOXA11     0.99 +/-     4.75  -->      3.60 +/-     5.71, n=48, p=0.000000
           NPM1:           MEIS1    10.15 +/-    12.02  -->     31.31 +/-    12.95, n=48, p=0.000000
           NPM1:           SPARC    54.70 +/-    52.54  -->      9.26 +/-    12.79, n=48, p=0.000000
           NPM1:            GNG7     8.37 +/-     4.98  -->      2.69 +/-     2.11, n=48, p=0.000000
